iter	Passed	Remaining
0	12	12778
1	23	11831
2	33	11042
3	41	10439
4	49	9807
5	56	9361
6	64	9137
7	71	8908
8	79	8804
9	87	8666
10	94	8511
11	101	8355
12	107	8190
13	114	8069
14	121	7974
15	128	7894
16	135	7811
17	139	7592
18	143	7402
19	147	7220
20	151	7042
21	154	6879
22	162	6887
23	169	6876
24	176	6872
25	183	6882
26	186	6733
27	190	6611
28	194	6499
29	198	6418
30	204	6389
31	214	6498
32	217	6385
33	226	6425
34	233	6427
35	238	6386
36	241	6288
37	245	6203
38	248	6124
39	251	6045
40	255	5973
41	258	5899
42	261	5826
43	264	5756
44	268	5691
45	271	5635
46	274	5575
47	278	5517
48	281	5462
49	284	5412
50	288	5361
51	291	5310
52	294	5261
53	297	5212
54	300	5163
55	303	5119
56	306	5077
57	310	5036
58	313	4997
59	316	4957
60	319	4921
61	322	4884
62	327	4876
63	331	4851
64	338	4872
65	345	4893
66	350	4876
67	353	4843
68	356	4812
69	360	4784
70	363	4754
71	366	4726
72	370	4702
73	373	4674
74	377	4656
75	381	4642
76	387	4640
77	394	4664
78	397	4639
79	404	4649
80	407	4623
81	410	4597
82	414	4574
83	417	4550
84	420	4528
85	424	4506
86	427	4482
87	430	4460
88	433	4437
89	436	4417
90	439	4394
91	443	4375
92	446	4357
93	449	4336
94	453	4317
95	456	4297
96	459	4280
97	463	4261
98	466	4241
99	469	4222
100	472	4203
101	475	4187
102	479	4172
103	481	4152
104	484	4133
105	488	4117
106	491	4103
107	494	4088
108	498	4072
109	501	4059
110	505	4048
111	508	4032
112	510	4004
113	513	3991
114	518	3987
115	521	3976
116	528	3984
117	536	4008
118	542	4017
119	548	4020
120	555	4035
121	559	4023
122	566	4040
123	570	4032
124	579	4057
125	584	4052
126	587	4039
127	591	4028
128	594	4014
129	597	4000
130	601	3987
131	604	3973
132	607	3959
133	610	3947
134	613	3933
135	617	3923
136	620	3911
137	624	3898
138	627	3886
139	630	3872
140	633	3860
141	637	3850
142	640	3838
143	643	3825
144	646	3814
145	649	3801
146	653	3790
147	656	3777
148	659	3765
149	662	3755
150	665	3744
151	669	3733
152	673	3728
153	676	3717
154	680	3709
155	684	3700
156	687	3691
157	690	3679
158	693	3669
159	696	3657
160	699	3646
161	704	3643
162	707	3633
163	711	3625
164	719	3638
165	722	3632
166	726	3625
167	730	3618
168	733	3608
169	737	3599
170	740	3588
171	743	3581
172	747	3572
173	750	3562
174	754	3556
175	758	3549
176	765	3561
177	770	3559
178	773	3549
179	777	3540
180	780	3532
181	784	3525
182	787	3517
183	791	3508
184	794	3499
185	797	3490
186	800	3482
187	804	3472
188	807	3464
189	810	3455
190	813	3447
191	817	3439
192	820	3430
193	823	3421
194	826	3413
195	830	3404
196	833	3397
197	836	3388
198	839	3380
199	842	3371
200	845	3362
201	849	3354
202	852	3346
203	855	3338
204	858	3330
205	862	3322
206	865	3315
207	868	3308
208	871	3299
209	875	3291
210	878	3283
211	881	3275
212	884	3267
213	891	3272
214	901	3292
215	905	3287
216	908	3279
217	912	3273
218	915	3265
219	919	3258
220	922	3251
221	925	3244
222	929	3238
223	933	3232
224	936	3224
225	939	3218
226	944	3215
227	949	3214
228	955	3217
229	959	3211
230	962	3203
231	965	3196
232	968	3189
233	972	3182
234	975	3174
235	978	3168
236	982	3161
237	985	3154
238	988	3147
239	991	3139
240	994	3132
241	998	3126
242	1001	3119
243	1004	3112
244	1007	3105
245	1010	3098
246	1014	3092
247	1017	3085
248	1020	3078
249	1023	3071
250	1027	3065
251	1030	3058
252	1033	3052
253	1036	3045
254	1040	3039
255	1043	3033
256	1047	3027
257	1050	3020
258	1053	3014
259	1056	3007
260	1060	3002
261	1063	2996
262	1066	2989
263	1070	2983
264	1075	2981
265	1079	2979
266	1089	2990
267	1096	2993
268	1103	2998
269	1107	2994
270	1114	2998
271	1120	2998
272	1123	2992
273	1127	2987
274	1133	2987
275	1138	2985
276	1143	2985
277	1150	2986
278	1153	2980
279	1156	2974
280	1160	2969
281	1164	2963
282	1167	2957
283	1170	2951
284	1174	2945
285	1177	2939
286	1180	2933
287	1184	2928
288	1187	2922
289	1190	2915
290	1194	2909
291	1197	2903
292	1200	2897
293	1203	2891
294	1207	2884
295	1210	2878
296	1213	2872
297	1217	2866
298	1220	2860
299	1223	2854
300	1226	2848
301	1229	2842
302	1233	2837
303	1236	2831
304	1239	2825
305	1243	2819
306	1246	2813
307	1249	2807
308	1253	2803
309	1257	2799
310	1262	2796
311	1266	2792
312	1270	2788
313	1278	2792
314	1282	2789
315	1290	2793
316	1298	2796
317	1301	2790
318	1304	2785
319	1308	2780
320	1311	2774
321	1319	2778
322	1323	2774
323	1330	2776
324	1336	2775
325	1339	2769
326	1343	2764
327	1346	2758
328	1349	2753
329	1353	2747
330	1356	2742
331	1360	2736
332	1363	2730
333	1366	2724
334	1369	2718
335	1372	2712
336	1375	2707
337	1379	2701
338	1383	2697
339	1386	2691
340	1389	2685
341	1392	2679
342	1395	2673
343	1399	2667
344	1402	2662
345	1405	2656
346	1408	2651
347	1412	2645
348	1415	2640
349	1418	2634
350	1421	2629
351	1425	2623
352	1428	2618
353	1431	2613
354	1435	2607
355	1438	2601
356	1441	2596
357	1444	2590
358	1448	2587
359	1453	2583
360	1461	2586
361	1468	2587
362	1472	2583
363	1475	2578
364	1479	2573
365	1482	2567
366	1485	2562
367	1488	2557
368	1492	2551
369	1495	2546
370	1498	2540
371	1501	2535
372	1505	2529
373	1512	2531
374	1519	2532
375	1523	2528
376	1527	2523
377	1530	2519
378	1534	2514
379	1537	2509
380	1540	2503
381	1544	2498
382	1547	2492
383	1550	2487
384	1554	2482
385	1557	2477
386	1560	2471
387	1563	2466
388	1566	2461
389	1570	2455
390	1573	2450
391	1576	2444
392	1579	2439
393	1582	2434
394	1586	2429
395	1589	2424
396	1592	2418
397	1595	2413
398	1599	2408
399	1602	2403
400	1605	2398
401	1609	2393
402	1612	2388
403	1615	2383
404	1619	2378
405	1622	2373
406	1625	2368
407	1628	2363
408	1636	2365
409	1644	2365
410	1647	2360
411	1652	2357
412	1655	2352
413	1658	2347
414	1662	2343
415	1665	2338
416	1668	2333
417	1671	2327
418	1675	2322
419	1678	2317
420	1681	2312
421	1684	2307
422	1688	2303
423	1691	2298
424	1695	2293
425	1701	2292
426	1709	2294
427	1713	2290
428	1717	2285
429	1720	2281
430	1724	2276
431	1727	2271
432	1730	2266
433	1734	2261
434	1737	2256
435	1740	2251
436	1743	2246
437	1746	2241
438	1750	2236
439	1753	2231
440	1756	2226
441	1760	2221
442	1763	2217
443	1766	2212
444	1769	2207
445	1773	2202
446	1776	2197
447	1780	2193
448	1783	2188
449	1786	2183
450	1789	2178
451	1792	2173
452	1795	2168
453	1799	2163
454	1802	2159
455	1805	2154
456	1809	2149
457	1812	2144
458	1815	2140
459	1818	2135
460	1822	2130
461	1826	2126
462	1832	2125
463	1837	2122
464	1841	2118
465	1844	2113
466	1848	2109
467	1852	2105
468	1855	2100
469	1858	2096
470	1862	2091
471	1865	2086
472	1868	2081
473	1871	2077
474	1874	2072
475	1878	2067
476	1881	2062
477	1884	2058
478	1888	2054
479	1891	2049
480	1896	2046
481	1903	2045
482	1909	2044
483	1912	2039
484	1916	2034
485	1919	2030
486	1923	2026
487	1926	2021
488	1930	2017
489	1933	2012
490	1936	2007
491	1940	2003
492	1943	1998
493	1946	1993
494	1949	1989
495	1953	1984
496	1956	1979
497	1959	1975
498	1962	1970
499	1965	1965
500	1969	1961
501	1972	1956
502	1975	1952
503	1978	1947
504	1982	1943
505	1985	1938
506	1989	1934
507	1992	1930
508	1996	1925
509	1999	1920
510	2002	1916
511	2005	1911
512	2010	1908
513	2014	1904
514	2018	1901
515	2025	1899
516	2030	1897
517	2037	1895
518	2041	1892
519	2045	1888
520	2049	1884
521	2052	1879
522	2056	1875
523	2059	1871
524	2063	1866
525	2066	1862
526	2069	1857
527	2074	1854
528	2079	1851
529	2085	1849
530	2089	1845
531	2092	1841
532	2096	1836
533	2099	1832
534	2103	1827
535	2106	1823
536	2109	1818
537	2112	1814
538	2115	1809
539	2119	1805
540	2122	1800
541	2125	1795
542	2128	1791
543	2131	1786
544	2134	1782
545	2137	1777
546	2141	1773
547	2144	1768
548	2147	1764
549	2150	1759
550	2154	1755
551	2157	1750
552	2160	1746
553	2164	1742
554	2167	1738
555	2171	1734
556	2174	1729
557	2177	1725
558	2181	1720
559	2185	1717
560	2188	1712
561	2191	1707
562	2194	1703
563	2199	1700
564	2203	1696
565	2210	1694
566	2215	1692
567	2219	1687
568	2222	1683
569	2226	1679
570	2229	1675
571	2232	1670
572	2236	1666
573	2239	1662
574	2242	1657
575	2245	1653
576	2248	1648
577	2251	1644
578	2254	1639
579	2258	1635
580	2262	1631
581	2265	1627
582	2269	1623
583	2276	1621
584	2280	1618
585	2284	1613
586	2287	1609
587	2291	1605
588	2294	1601
589	2298	1597
590	2301	1592
591	2304	1588
592	2307	1583
593	2311	1579
594	2314	1575
595	2318	1571
